AIZ,2015-02-12,0.87,1.663,-47.67%
RF,2015-01-20,0.14,0.2062,-32.11%
FTR,2015-02-19,0.04,0.054,-25.93%
MS,2015-01-20,0.39,0.4957,-21.33%
AXP,2015-01-21,1.22,1.3818,-11.71%
PRU,2015-02-04,2.12,2.3811,-10.97%
AMT,2015-02-23,0.99,1.1,-10.00%
DFS,2015-01-21,1.19,1.3,-8.46%
AIG,2015-02-12,0.97,1.0446,-7.14%
WY,2015-01-30,0.27,0.2867,-5.81%
ZION,2015-01-26,0.4,0.4242,-5.70%
IRM,2015-02-20,0.52,0.545,-4.59%
CTL,2015-02-11,0.6,0.6271,-4.33%
COF,2015-01-22,1.68,1.75,-4.00%
O,2015-02-17,0.64,0.665,-3.76%
AIV,2015-02-05,0.54,0.555,-2.70%
BEN,2015-01-30,0.91,0.9339,-2.56%
GOOGL,2015-01-29,6.88,7.0608,-2.56%
NTAP,2015-02-11,0.75,0.7687,-2.43%
VRSN,2015-02-05,0.7,0.7171,-2.39%
CBG,2015-02-04,0.68,0.695,-2.16%
SCHW,2015-01-16,0.24,0.2435,-1.44%
AVB,2015-01-28,1.74,1.7644,-1.38%
XLNX,2015-01-21,0.6,0.6084,-1.38%
MTB,2015-01-20,1.92,1.9427,-1.17%
VZ,2015-01-22,0.71,0.7178,-1.08%
VNO,2015-02-17,1.22,1.2325,-1.01%
BK,2015-01-23,0.58,0.5856,-0.96%
NAVI,2015-01-21,0.53,0.535,-0.93%
SLG,2015-01-28,1.43,1.439,-0.62%
KIM,2015-02-05,0.35,0.3516,-0.45%
PAYX,2015-03-25,0.46,0.462,-0.41%
TXN,2015-01-26,0.69,0.6921,-0.30%
FITB,2015-01-21,0.42,0.4211,-0.25%
AMAT,2015-02-11,0.27,0.271,-0.18%
TMK,2015-02-02,1,1.0013,-0.12%
ORCL,2015-03-17,0.68,0.6806,-0.09%
PSA,2015-02-19,2.2,2.2013,-0.06%
FIS,2015-02-05,0.87,0.8705,-0.06%
MMC,2015-02-06,0.66,0.6596,0.07%
STX,2015-01-26,1.35,1.3477,0.17%
GGP,2015-01-28,0.38,0.3793,0.18%
SPG,2015-01-30,2.47,2.4652,0.19%
WFC,2015-01-14,1.02,1.0161,0.39%
AFL,2015-02-03,1.29,1.2844,0.43%
FISV,2015-02-03,0.89,0.8858,0.48%
BXP,2015-01-29,1.26,1.2529,0.57%
ACN,2015-03-26,1.08,1.072,0.76%
NDAQ,2015-01-29,0.75,0.7443,0.77%
HPQ,2015-02-24,0.92,0.9124,0.83%
HCN,2015-02-20,1.03,1.02,0.98%
T,2015-01-27,0.55,0.5446,0.99%
EMC,2015-01-29,0.69,0.6826,1.09%
JPM,2015-01-14,1.33,1.3156,1.10%
EBAY,2015-01-21,0.9,0.8895,1.19%
LM,2015-01-30,0.67,0.6614,1.30%
VTR,2015-02-13,1.15,1.1339,1.42%
USB,2015-01-21,0.78,0.7689,1.44%
C,2015-01-15,1.16,1.0657,8.85%
STI,2015-01-16,0.88,0.8029,9.61%
CCI,2015-01-21,1.17,1.065,9.86%
HBAN,2015-01-22,0.21,0.1909,10.00%
TSS,2015-01-27,0.58,0.5271,10.03%
AKAM,2015-02-10,0.7,0.6329,10.61%
KEY,2015-01-22,0.29,0.2615,10.88%
MU,2015-04-01,0.81,0.7289,11.13%
CA,2015-01-20,0.67,0.6025,11.20%
FB,2015-01-28,0.54,0.4849,11.37%
HRS,2015-02-06,1.32,1.18,11.86%
LVLT,2015-02-04,0.35,0.3127,11.92%
INTC,2015-01-15,0.74,0.6605,12.03%
LNC,2015-02-04,1.67,1.4812,12.75%
ADBE,2015-03-17,0.44,0.3847,14.36%
NTRS,2015-01-21,0.94,0.8068,16.50%
GLW,2015-01-27,0.45,0.3836,17.32%
AAPL,2015-01-27,3.06,2.5963,17.86%
MCO,2015-02-06,1.12,0.948,18.14%
NVDA,2015-02-11,0.43,0.3635,18.29%
TRV,2015-01-22,3.07,2.538,20.96%
WU,2015-02-10,0.42,0.339,23.93%
XL,2015-02-02,1.12,0.8806,27.19%
KLAC,2015-01-22,0.68,0.5167,31.61%
EA,2015-01-27,1.22,0.9248,31.93%
JNPR,2015-01-27,0.41,0.3078,33.20%
PGR,2015-01-28,0.6,0.4495,33.47%
INTU,2015-02-19,-0.06,-0.1265,52.56%
FSLR,2015-02-24,1.89,0.769,145.91%
